As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,TWTR,TWITTER INC COMMON STOCK USD.000005,0.6052206900,3897309.5000000000
2021-02-28,TWLO,TWILIO INC   A COMMON STOCK USD.001,0.5689284300,3663606.0000000000
2021-02-28,FCX,FREEPORT MCMORAN INC COMMON STOCK USD.1,0.4952151300,3188930.3100000000
2021-02-28,KLAC,KLA CORP COMMON STOCK USD.001,0.4867465900,3134397.3300000000
2021-02-28,F,FORD MOTOR CO COMMON STOCK USD.01,0.4596814400,2960111.7000000000
2021-02-28,ALGN,ALIGN TECHNOLOGY INC COMMON STOCK USD.0001,0.4459743400,2871845.0400000000
2021-02-28,MRNA,MODERNA INC COMMON STOCK USD.0001,0.4451864800,2866771.5800000000
2021-02-28,IDXX,IDEXX LABORATORIES INC COMMON STOCK USD.1,0.4408874200,2839087.8600000000
2021-02-28,ROKU,ROKU INC COMMON STOCK USD.0001,0.4338959200,2794066.2000000000
2021-02-28,JCI,JOHNSON CONTROLS INTERNATION COMMON STOCK USD.01,0.4087810800,2632339.5700000000
2021-02-28,DOCU,DOCUSIGN INC COMMON STOCK USD.0001,0.4070702800,2621322.9000000000
2021-02-28,SPOT,SPOTIFY TECHNOLOGY SA COMMON STOCK EUR.000625,0.4053540000,2610270.9600000000
2021-02-28,CMG,CHIPOTLE MEXICAN GRILL INC COMMON STOCK USD.01,0.4046432400,2605694.0000000000
2021-02-28,APTV,APTIV PLC COMMON STOCK USD.01,0.4042746000,2603320.1600000000
2021-02-28,HPQ,HP INC COMMON STOCK USD.01,0.4012890900,2584095.0300000000
2021-02-28,CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,0.3918409000,2523253.5600000000
2021-02-28,MCHP,MICROCHIP TECHNOLOGY INC COMMON STOCK USD.001,0.3840942600,2473369.1500000000
2021-02-28,VEEV,VEEVA SYSTEMS INC CLASS A COMMON STOCK USD.00001,0.3815716600,2457124.9200000000
2021-02-28,A,AGILENT TECHNOLOGIES INC COMMON STOCK USD.01,0.3803997900,2449578.6900000000
2021-02-28,CMI,CUMMINS INC COMMON STOCK USD2.5,0.3760163500,2421351.6000000000
2021-02-28,SNPS,SYNOPSYS INC COMMON STOCK USD.01,0.3735562900,2405510.1000000000
2021-02-28,PH,PARKER HANNIFIN CORP COMMON STOCK USD.5,0.3700475900,2382915.8400000000
2021-02-28,TROW,T ROWE PRICE GROUP INC COMMON STOCK USD.2,0.3696030200,2380053.0600000000
2021-02-28,APH,AMPHENOL CORP CL A COMMON STOCK USD.001,0.3694780100,2379248.0800000000
2021-02-28,IQV,IQVIA HOLDINGS INC COMMON STOCK USD.01,0.3692343600,2377679.0700000000
2021-02-28,TT,TRANE TECHNOLOGIES PLC COMMON STOCK USD1.0,0.3688286900,2375066.7600000000
2021-02-28,SPG,SIMON PROPERTY GROUP INC REIT USD.0001,0.3678610600,2368835.7600000000
2021-02-28,INFO,IHS MARKIT LTD COMMON STOCK USD.01,0.3605428400,2321710.1600000000
2021-02-28,LULU,LULULEMON ATHLETICA INC COMMON STOCK USD.005,0.3567666200,2297393.2800000000
2021-02-28,MPC,MARATHON PETROLEUM CORP COMMON STOCK USD.01,0.3561016900,2293111.4600000000
2021-02-28,VIAC,VIACOMCBS INC   CLASS B COMMON STOCK USD.001,0.3523999500,2269274.1200000000
2021-02-28,PRU,PRUDENTIAL FINANCIAL INC COMMON STOCK USD.01,0.3457630600,2226536.0000000000
2021-02-28,LUV,SOUTHWEST AIRLINES CO COMMON STOCK USD1.0,0.3451699700,2222716.8100000000
2021-02-28,MTCH,MATCH GROUP INC COMMON STOCK,0.3446995700,2219687.7000000000
2021-02-28,CTVA,CORTEVA INC COMMON STOCK USD.01,0.3411902300,2197089.3000000000
2021-02-28,ZBH,ZIMMER BIOMET HOLDINGS INC COMMON STOCK USD.01,0.3403010300,2191363.3400000000
2021-02-28,HLT,HILTON WORLDWIDE HOLDINGS IN COMMON STOCK USD.01,0.3400895900,2190001.7600000000
2021-02-28,MSCI,MSCI INC COMMON STOCK USD.01,0.3400752100,2189909.1600000000
2021-02-28,IFF,INTL FLAVORS + FRAGRANCES COMMON STOCK USD.125,0.3399805400,2189299.5600000000
2021-02-28,PANW,PALO ALTO NETWORKS INC COMMON STOCK USD.0001,0.3360259600,2163834.0900000000
2021-02-28,TTD,TRADE DESK INC/THE  CLASS A COMMON STOCK,0.3351891100,2158445.2000000000
2021-02-28,CRWD,CROWDSTRIKE HOLDINGS INC   A COMMON STOCK,0.3299965800,2125008.0000000000
2021-02-28,ALXN,ALEXION PHARMACEUTICALS INC COMMON STOCK USD.0001,0.3272764500,2107491.7500000000
2021-02-28,PINS,PINTEREST INC  CLASS A COMMON STOCK USD.00001,0.3260247300,2099431.3200000000
2021-02-28,MRVL,MARVELL TECHNOLOGY GROUP LTD COMMON STOCK USD.002,0.3240117100,2086468.4800000000
2021-02-28,CSGP,COSTAR GROUP INC COMMON STOCK USD.01,0.3235179600,2083289.0400000000
2021-02-28,ORLY,O REILLY AUTOMOTIVE INC COMMON STOCK USD.01,0.3219783200,2073374.5500000000
2021-02-28,XLNX,XILINX INC COMMON STOCK USD.01,0.3206364900,2064733.8000000000
2021-02-28,PPG,PPG INDUSTRIES INC COMMON STOCK USD1.67,0.3204115400,2063285.2800000000
2021-02-28,CARR,CARRIER GLOBAL CORP COMMON STOCK USD.01,0.3195836500,2057954.0800000000
2021-02-28,ADM,ARCHER DANIELS MIDLAND CO COMMON STOCK,0.3158014000,2033598.3600000000
2021-02-28,PCAR,PACCAR INC COMMON STOCK USD1.0,0.3109026600,2002052.9700000000
2021-02-28,XEL,XCEL ENERGY INC COMMON STOCK USD2.5,0.3103243800,1998329.1300000000
2021-02-28,PTON,PELOTON INTERACTIVE INC A COMMON STOCK USD.000025,0.3083081400,1985345.6000000000
2021-02-28,DAL,DELTA AIR LINES INC COMMON STOCK USD.0001,0.3079051300,1982750.4600000000
2021-02-28,TDG,TRANSDIGM GROUP INC COMMON STOCK USD.01,0.3034923900,1954334.6300000000
2021-02-28,OKTA,OKTA INC COMMON STOCK,0.3028434100,1950155.5500000000
2021-02-28,PXD,PIONEER NATURAL RESOURCES CO COMMON STOCK USD.01,0.3020549700,1945078.4400000000
2021-02-28,MSI,MOTOROLA SOLUTIONS INC COMMON STOCK USD.01,0.3006561700,1936070.8400000000
2021-02-28,RNG,RINGCENTRAL INC CLASS A COMMON STOCK USD.0001,0.2997921200,1930506.8000000000
2021-02-28,SWKS,SKYWORKS SOLUTIONS INC COMMON STOCK USD.25,0.2987007500,1923478.9400000000
2021-02-28,PAYX,PAYCHEX INC COMMON STOCK USD.01,0.2944172200,1895895.2600000000
2021-02-28,ANSS,ANSYS INC COMMON STOCK USD.01,0.2942597800,1894881.4300000000
2021-02-28,DFS,DISCOVER FINANCIAL SERVICES COMMON STOCK USD.01,0.2903986200,1870017.5300000000
2021-02-28,GLW,CORNING INC COMMON STOCK USD.5,0.2887707300,1859534.7200000000
2021-02-28,CTAS,CINTAS CORP COMMON STOCK,0.2883532700,1856846.5000000000
2021-02-28,FRC,FIRST REPUBLIC BANK/CA COMMON STOCK USD.01,0.2866214100,1845694.2500000000
2021-02-28,WLTW,WILLIS TOWERS WATSON PLC COMMON STOCK USD.000304635,0.2859983500,1841682.0800000000
2021-02-28,WELL,WELLTOWER INC REIT USD1.0,0.2859725500,1841515.9000000000
2021-02-28,ROK,ROCKWELL AUTOMATION INC COMMON STOCK USD1.0,0.2841012300,1829465.6000000000
2021-02-28,WMB,WILLIAMS COS INC COMMON STOCK USD1.0,0.2797804600,1801642.0400000000
2021-02-28,RMD,RESMED INC COMMON STOCK USD.004,0.2783558700,1792468.4400000000
2021-02-28,MCK,MCKESSON CORP COMMON STOCK USD.01,0.2759395600,1776908.6400000000
2021-02-28,ES,EVERSOURCE ENERGY COMMON STOCK USD5.0,0.2749561500,1770575.9600000000
2021-02-28,BLL,BALL CORP COMMON STOCK,0.2745959000,1768256.1200000000
2021-02-28,PEG,PUBLIC SERVICE ENTERPRISE GP COMMON STOCK,0.2739948800,1764385.9100000000
2021-02-28,DMH1,S+P MID 400 EMINI MAR21 XCME 20210319,0.0000000000,2993640.0000000000
2021-02-28,AZO,AUTOZONE INC COMMON STOCK USD.01,0.2727110800,1756118.8800000000
2021-02-28,AME,AMETEK INC COMMON STOCK USD.01,0.2724152500,1754213.9000000000
2021-02-28,SWK,STANLEY BLACK + DECKER INC COMMON STOCK USD2.5,0.2715395500,1748574.8400000000
2021-02-28,,SSC GOVERNMENT MM GVMXX,0.2702969100,1740572.8600000000
2021-02-28,FAST,FASTENAL CO COMMON STOCK USD.01,0.2674337300,1722135.4300000000
2021-02-28,KEYS,KEYSIGHT TECHNOLOGIES IN COMMON STOCK,0.2666019300,1716779.1200000000
2021-02-28,LYB,LYONDELLBASELL INDU CL A COMMON STOCK EUR.04,0.2662944500,1714799.0600000000
2021-02-28,MTD,METTLER TOLEDO INTERNATIONAL COMMON STOCK USD.01,0.2651697400,1707556.5000000000
2021-02-28,ZBRA,ZEBRA TECHNOLOGIES CORP CL A COMMON STOCK USD.01,0.2639279900,1699560.2900000000
2021-02-28,AMP,AMERIPRISE FINANCIAL INC COMMON STOCK USD.01,0.2629324800,1693149.7200000000
2021-02-28,OTIS,OTIS WORLDWIDE CORP COMMON STOCK USD.01,0.2619145600,1686594.8300000000
2021-02-28,ETSY,ETSY INC COMMON STOCK USD.001,0.2617796800,1685726.3100000000
