As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,PLUG,PLUG POWER INC COMMON STOCK USD.01,0.6897828500,41524892.6600000000
2021-02-28,PENN,PENN NATIONAL GAMING INC COMMON STOCK USD.01,0.6465356800,38921415.2600000000
2021-02-28,CZR,CAESARS ENTERTAINMENT INC COMMON STOCK,0.6030827500,36305551.3600000000
2021-02-28,,TIME DEPOSITS,0.5542783200,33367526.7000000000
2021-02-28,NVAX,NOVAVAX INC COMMON STOCK USD.01,0.5107921100,30749659.0900000000
2021-02-28,DAR,DARLING INGREDIENTS INC COMMON STOCK USD.01,0.3634772200,21881310.0800000000
2021-02-28,LAD,LITHIA MOTORS INC CL A COMMON STOCK,0.3484633000,20977473.1500000000
2021-02-28,RUN,SUNRUN INC COMMON STOCK USD.0001,0.3373116800,20306146.1400000000
2021-02-28,DECK,DECKERS OUTDOOR CORP COMMON STOCK USD.01,0.3270528500,19688565.1400000000
2021-02-28,RARE,ULTRAGENYX PHARMACEUTICAL IN COMMON STOCK USD.001,0.3174331100,19109456.9400000000
2021-02-28,BLDR,BUILDERS FIRSTSOURCE INC COMMON STOCK USD.01,0.3161682400,19033311.8600000000
2021-02-28,NTRA,NATERA INC COMMON STOCK USD.0001,0.3146735900,18943334.0200000000
2021-02-28,CHDN,CHURCHILL DOWNS INC COMMON STOCK,0.3142049000,18915119.4500000000
2021-02-28,IIVI,II VI INC COMMON STOCK,0.3100604200,18665621.7000000000
2021-02-28,MRTX,MIRATI THERAPEUTICS INC COMMON STOCK,0.3080553400,18544916.0000000000
2021-02-28,ARWR,ARROWHEAD PHARMACEUTICALS IN COMMON STOCK USD.001,0.2865459900,17250054.3600000000
2021-02-28,RH,RH COMMON STOCK USD.0001,0.2772303400,16689252.5800000000
2021-02-28,RDFN,REDFIN CORP COMMON STOCK,0.2706889500,16295461.0000000000
2021-02-28,TTEK,TETRA TECH INC COMMON STOCK USD.01,0.2671945300,16085097.3900000000
2021-02-28,PFGC,PERFORMANCE FOOD GROUP CO COMMON STOCK USD.01,0.2546741300,15331369.9200000000
2021-02-28,SITE,SITEONE LANDSCAPE SUPPLY INC COMMON STOCK USD.01,0.2495481400,15022785.2500000000
2021-02-28,APPS,DIGITAL TURBINE INC COMMON STOCK USD.0001,0.2492134800,15002638.7200000000
2021-02-28,VAC,MARRIOTT VACATIONS WORLD COMMON STOCK USD.01,0.2463277900,14828920.3800000000
2021-02-28,FATE,FATE THERAPEUTICS INC COMMON STOCK USD.001,0.2420385300,14570707.4400000000
2021-02-28,SLAB,SILICON LABORATORIES INC COMMON STOCK USD.0001,0.2418292400,14558107.9800000000
2021-02-28,HQY,HEALTHEQUITY INC COMMON STOCK USD.0001,0.2369028200,14261537.7000000000
2021-02-28,BBIO,BRIDGEBIO PHARMA INC COMMON STOCK,0.2356898200,14188515.2400000000
2021-02-28,LSCC,LATTICE SEMICONDUCTOR CORP COMMON STOCK USD.01,0.2344277300,14112537.3600000000
2021-02-28,FRPT,FRESHPET INC COMMON STOCK USD.001,0.2275953500,13701228.4800000000
2021-02-28,BL,BLACKLINE INC COMMON STOCK USD.01,0.2264438200,13631906.3400000000
2021-02-28,BLD,TOPBUILD CORP COMMON STOCK,0.2258289800,13594893.1800000000
2021-02-28,WMS,ADVANCED DRAINAGE SYSTEMS IN COMMON STOCK USD.01,0.2220870700,13369630.4000000000
2021-02-28,VRNS,VARONIS SYSTEMS INC COMMON STOCK USD.001,0.2200225700,13245347.6400000000
2021-02-28,QTWO,Q2 HOLDINGS INC COMMON STOCK USD.0001,0.2199126000,13238727.4800000000
2021-02-28,APPN,APPIAN CORP COMMON STOCK USD.0001,0.2192012400,13195903.5000000000
2021-02-28,SF,STIFEL FINANCIAL CORP COMMON STOCK USD.15,0.2187934100,13171352.2800000000
2021-02-28,INSP,INSPIRE MEDICAL SYSTEMS INC COMMON STOCK USD.001,0.2183896900,13147048.0400000000
2021-02-28,CLF,CLEVELAND CLIFFS INC COMMON STOCK USD.125,0.2176790700,13104268.8600000000
2021-02-28,OVV,OVINTIV INC COMMON STOCK,0.2165071500,13033719.4800000000
2021-02-28,BRKS,BROOKS AUTOMATION INC COMMON STOCK USD.01,0.2164275300,13028926.6800000000
2021-02-28,HALO,HALOZYME THERAPEUTICS INC COMMON STOCK USD.001,0.2156277100,12980777.0000000000
2021-02-28,TXRH,TEXAS ROADHOUSE INC COMMON STOCK USD.001,0.2139893700,12882149.1200000000
2021-02-28,GME,GAMESTOP CORP CLASS A COMMON STOCK USD.001,0.2085452000,12554410.7800000000
2021-02-28,FFIN,FIRST FINL BANKSHARES INC COMMON STOCK USD.01,0.2065541600,12434549.8200000000
2021-02-28,NVRO,NEVRO CORP COMMON STOCK USD.001,0.2013523900,12121403.9400000000
2021-02-28,SSB,SOUTH STATE CORP COMMON STOCK USD2.5,0.1977868100,11906755.9600000000
2021-02-28,LHCG,LHC GROUP INC COMMON STOCK USD.01,0.1977109100,11902186.7100000000
2021-02-28,BJ,BJ S WHOLESALE CLUB HOLDINGS COMMON STOCK USD.01,0.1971691600,11869573.8000000000
2021-02-28,YETI,YETI HOLDINGS INC COMMON STOCK USD.01,0.1971096100,11865988.4200000000
2021-02-28,MSTR,MICROSTRATEGY INC CL A COMMON STOCK USD.001,0.1967147900,11842220.2100000000
2021-02-28,HELE,HELEN OF TROY LTD COMMON STOCK USD.1,0.1965787000,11834028.0000000000
2021-02-28,BEPC,BROOKFIELD RENEWABLE COR A COMMON STOCK USD.01,0.1948299000,11728750.2200000000
2021-02-28,BPMC,BLUEPRINT MEDICINES CORP COMMON STOCK USD.001,0.1947661800,11724914.2800000000
2021-02-28,RXN,REXNORD CORP COMMON STOCK USD.01,0.1940004800,11678819.1000000000
2021-02-28,PACB,PACIFIC BIOSCIENCES OF CALIF COMMON STOCK USD.0001,0.1937052900,11661048.7800000000
2021-02-28,OMCL,OMNICELL INC COMMON STOCK USD.001,0.1931537700,11627847.0000000000
2021-02-28,NEO,NEOGENOMICS INC COMMON STOCK USD.001,0.1914831000,11527273.2600000000
2021-02-28,THC,TENET HEALTHCARE CORP COMMON STOCK USD.05,0.1910921000,11503734.5000000000
2021-02-28,EGP,EASTGROUP PROPERTIES INC REIT,0.1909633900,11495986.7100000000
2021-02-28,EME,EMCOR GROUP INC COMMON STOCK USD.01,0.1896775700,11418579.9000000000
2021-02-28,SAIA,SAIA INC COMMON STOCK USD.001,0.1888747700,11370251.5300000000
2021-02-28,FOXF,FOX FACTORY HOLDING CORP COMMON STOCK USD.001,0.1884841900,11346738.8500000000
2021-02-28,MGNI,MAGNITE INC COMMON STOCK USD.00001,0.1883517900,11338768.5300000000
2021-02-28,LPX,LOUISIANA PACIFIC CORP COMMON STOCK USD1.0,0.1874807400,11286331.3800000000
2021-02-28,POWI,POWER INTEGRATIONS INC COMMON STOCK USD.001,0.1865973700,11233152.5500000000
2021-02-28,GBCI,GLACIER BANCORP INC COMMON STOCK USD.01,0.1860520100,11200321.6000000000
2021-02-28,GTLS,CHART INDUSTRIES INC COMMON STOCK USD.01,0.1851448300,11145709.3700000000
2021-02-28,CROX,CROCS INC COMMON STOCK USD.001,0.1835584900,11050211.7600000000
2021-02-28,TGTX,TG THERAPEUTICS INC COMMON STOCK USD.001,0.1808211500,10885423.9200000000
2021-02-28,UPWK,UPWORK INC COMMON STOCK USD.0001,0.1791001300,10781819.0400000000
2021-02-28,MMS,MAXIMUS INC COMMON STOCK,0.1780762600,10720181.7600000000
2021-02-28,SAIL,SAILPOINT TECHNOLOGIES HOLDI COMMON STOCK USD.0001,0.1778771800,10708197.0200000000
2021-02-28,EXPO,EXPONENT INC COMMON STOCK USD.001,0.1774921300,10685017.2000000000
2021-02-28,CCMP,CMC MATERIALS INC COMMON STOCK USD.001,0.1773711300,10677733.0000000000
2021-02-28,MTZ,MASTEC INC COMMON STOCK USD.1,0.1762597200,10610826.2500000000
2021-02-28,ROLL,RBC BEARINGS INC COMMON STOCK USD.01,0.1757747600,10581631.4800000000
2021-02-28,VLY,VALLEY NATIONAL BANCORP COMMON STOCK,0.1749018600,10529083.2500000000
2021-02-28,FCEL,FUELCELL ENERGY INC COMMON STOCK USD.0001,0.1747736700,10521366.2400000000
2021-02-28,JCOM,J2 GLOBAL INC COMMON STOCK USD.01,0.1731053900,10420935.5600000000
2021-02-28,BYD,BOYD GAMING CORP COMMON STOCK USD.01,0.1710433600,10296801.8000000000
2021-02-28,STAA,STAAR SURGICAL CO COMMON STOCK USD.01,0.1707493200,10279100.2800000000
2021-02-28,M,MACY S INC COMMON STOCK USD.01,0.1702167200,10247037.8400000000
2021-02-28,SMTC,SEMTECH CORP COMMON STOCK USD.01,0.1695423000,10206438.1300000000
2021-02-28,STAG,STAG INDUSTRIAL INC REIT USD.01,0.1695415600,10206393.4500000000
2021-02-28,ASGN,ASGN INC COMMON STOCK USD.01,0.1695391200,10206246.6000000000
2021-02-28,ITRI,ITRON INC COMMON STOCK,0.1685238800,10145128.9200000000
2021-02-28,ARNA,ARENA PHARMACEUTICALS INC COMMON STOCK USD.0001,0.1673990900,10077416.6500000000
2021-02-28,IRTC,IRHYTHM TECHNOLOGIES INC COMMON STOCK USD.001,0.1666038000,10029540.6000000000
2021-02-28,NVTA,INVITAE CORP COMMON STOCK USD.0001,0.1659903500,9992610.7800000000
2021-02-28,SYNA,SYNAPTICS INC COMMON STOCK USD.001,0.1657119800,9975852.9000000000
2021-02-28,JBT,JOHN BEAN TECHNOLOGIES CORP COMMON STOCK USD.01,0.1656192700,9970271.9100000000
2021-02-28,SFIX,STITCH FIX INC CLASS A COMMON STOCK USD.00002,0.1650629800,9936782.9600000000
2021-02-28,AA,ALCOA CORP COMMON STOCK USD.01,0.1648391100,9923306.4000000000
