,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
A,114.528275,1629150,122.97485,1629150,1.010834,38282256384,6.9226503,136.98,28.88276,68.14,3
AA,19.994532,7195425,26.984285,7195425,2.654205,6107601920,0.6577215,33.45,13.217741,5.71,2
AAL,15.898058,46267525,21.025429,46267525,1.858071,14667771904,0.84603864,26.09,88.192314,8.25,0
AAON,66.9605,180100,75.03714,180100,0.639219,3781918720,7.3499393,81.25,47.900665,43.84,4
AAP,159.27475,964112,170.18971,964112,1.330985,12274030592,1.2144905,188.17,16.845325,81.94,0
ABC,102.688705,1042775,108.797714,1042775,0.480498,24304744448,0.12493074,118.85,13.004381,80.0,1
ABCB,37.41626,670587,50.311714,670587,1.438786,3824867840,4.0774016,57.81,14.05115,17.12,0
ABG,139.14561,212862,174.26086,212862,1.68689,3851976704,0.54011285,201.06,12.915748,41.91,0
ABM,40.13597,520825,45.996,520825,1.337486,3521538560,0.6002179,55.48,16.454546,21.6,0
ABMD,294.20627,321462,311.858,321462,1.375406,13632623616,16.769636,387.4,61.26016,140.14,0
ACGL,33.53259,1749087,36.23057,1749087,0.847778,15628921856,1.8332454,38.81,10.538043,20.93,1
ACIA,80.49184,0,114.71586,0,0.647058,4899539968,8.9412565,115.0,35.600616,60.62,4
ACIW,35.049065,684875,39.845715,684875,1.212351,4476034048,3.4582074,43.23,28.946968,21.01,0
ADC,65.243744,1051825,65.606575,1051825,0.323401,4279098368,17.215,72.68,36.18817,54.94,4
ADM,51.292877,2882575,56.671143,2882575,0.872697,32337756160,0.50249016,59.12,14.550251,33.01,3
ADNT,30.745684,1411975,39.119144,1411975,3.350713,3939135232,0.31307703,48.65,8.519349,7.12,2
AEE,77.47676,1562362,74.84114,1562362,0.244312,20805697536,3.7555413,86.9,20.213398,65.9,1
AEIS,91.78245,343925,106.39114,343925,1.841278,4261621504,3.0099895,125.55,17.24379,41.78,0
AEO,20.094965,3920350,27.132856,3920350,1.430119,4866001920,1.2944548,30.99,15.86413,6.54,0
AES,22.86374,7804387,27.177713,7804387,0.874322,17584707584,1.820363,29.07,15.666667,11.0,1
AIMC,51.73453,396112,58.687428,396112,2.617551,3611428096,2.0923686,66.38,15.229508,15.15,2
AIT,74.50971,212012,87.48428,212012,1.517334,3597008128,1.1774294,95.8,20.676338,41.39,0
AJG,115.317696,1263487,122.113144,1263487,0.691224,24534880256,3.6177535,129.12,24.792898,73.66,1
AJRD,44.775394,880550,49.97543,880550,0.507583,3780227840,1.8238181,53.53,22.278303,32.15,4
AKAM,104.63295,1708362,100.00629,1708362,0.394366,16762693632,5.2413735,124.91,17.406778,88.75,1
ALB,133.2351,1025850,153.51514,1025850,1.58234,17554386944,5.610386,188.35,30.079998,52.69,0
ALE,59.72223,432812,65.908,432812,0.444745,3528648448,3.0182605,72.15,17.47287,48.22,4
ALGN,477.58023,712262,557.37054,712262,1.717226,41808973824,16.913418,634.46,46.18357,150.38,3
ALGT,178.78864,194087,242.39343,194087,1.786023,4111715584,4.1529417,271.29,17.478716,63.5,0
ALLE,110.137695,825800,115.36686,825800,1.132177,11500319744,4.2282143,126.9,24.096956,82.2,0
ALLK,110.853165,297725,125.13943,297725,1.00544,6115937280,,157.98,-24.976137,42.89,4
ALLY,34.317913,4667600,43.485428,4667600,1.558504,17103277056,2.758593,47.3,8.330909,11.905,0
ALNY,140.73381,531312,147.97543,531312,1.284398,15941522432,32.34539,178.41,-43.951614,98.01,1
ALRM,79.73903,320000,91.77657,320000,1.193932,4320497664,6.9910626,108.67,45.857895,35.5,0
ALXN,137.40964,2288737,153.222,2288737,1.24052,34048958464,5.609476,162.6,11.134076,83.54,3
AMBA,84.1,562500,113.596855,562500,1.397616,3456352256,15.500032,137.21,91.84111,43.69,0
AMCR,11.3444605,10213500,11.465714,10213500,0.439524,18400124928,1.4739556,12.4,17.323528,7.76,1
